CRN,CRASH_YEAR,VEH_TYPE
2011082438,2011,Automobile
2011082439,2011,Automobile
2011082439,2011,Automobile
2011082439,2011,Automobile
2011082440,2011,Automobile
2011082440,2011,Van
2011082441,2011,Automobile
2011082441,2011,Automobile
2011082442,2011,Small truck
2011082442,2011,Automobile
2011082442,2011,Automobile
2011082442,2011,Van
2011082443,2011,Automobile
2011082443,2011,Automobile
2011082444,2011,Automobile
2011082444,2011,Small truck
2011082445,2011,Automobile
2011082445,2011,Automobile
2011082447,2011,Automobile
2011082447,2011,Automobile
2011082449,2011,Automobile
2011082449,2011,Unicycle bicycle or tricycle
2011082450,2011,Automobile
2011082451,2011,Automobile
2011082451,2011,Automobile
2011082451,2011,Automobile
2011082451,2011,Automobile
2011082452,2011,Automobile
2011082452,2011,Automobile
2011082452,2011,Automobile
2011082452,2011,Automobile
2011082452,2011,Automobile
2011082452,2011,Automobile
2011082453,2011,Automobile
2011082453,2011,Automobile
2011082454,2011,unknown
2011082454,2011,Small truck
2011082455,2011,Small truck
2011082455,2011,Automobile
2011082456,2011,Automobile
2011082456,2011,Unicycle bicycle or tricycle
2011082458,2011,Automobile
2011082459,2011,SUV
2011082459,2011,Automobile
2011082460,2011,Automobile
2011082460,2011,SUV
2011082461,2011,Automobile
2011082461,2011,Automobile
2011082462,2011,Automobile
2011082463,2011,Automobile
2011082463,2011,Automobile
2011082464,2011,Van
2011082464,2011,Automobile
2011082465,2011,Automobile
2011082465,2011,Automobile
2011082466,2011,Automobile
2011082466,2011,Automobile
2011082467,2011,Automobile
2011082467,2011,SUV
2011082467,2011,Automobile
2011082468,2011,Automobile
2011082469,2011,Automobile
2011082469,2011,Automobile
2011082471,2011,SUV
2011082471,2011,Automobile
2011082472,2011,Automobile
2011082473,2011,Automobile
2011082474,2011,Automobile
2011082474,2011,Automobile
2011082475,2011,SUV
2011082476,2011,SUV
2011082476,2011,SUV
2011082485,2011,Automobile
2011082485,2011,Automobile
2011082486,2011,Automobile
2011082486,2011,Automobile
2011082487,2011,Automobile
2011082487,2011,Automobile
2011082487,2011,Automobile
2011082488,2011,Automobile
2011082489,2011,Automobile
2011082489,2011,Automobile
2011082490,2011,SUV
2011082491,2011,Automobile
2011082491,2011,Automobile
2011082492,2011,Automobile
2011082492,2011,Van
2011082493,2011,Automobile
2011082494,2011,Small truck
2011082494,2011,Automobile
2011082494,2011,Automobile
2011082495,2011,Automobile
2011082495,2011,Automobile
2011082496,2011,Automobile
2011082496,2011,Automobile
2011082497,2011,Automobile
2011082497,2011,SUV
2011082498,2011,Automobile
2011082499,2011,Van
2011082500,2011,Van
2011082500,2011,SUV
2011082500,2011,Van
2011082503,2011,Automobile
2011082503,2011,Automobile
2011082504,2011,Unicycle bicycle or tricycle
2011082504,2011,Automobile
2011082505,2011,Automobile
2011082505,2011,SUV
2011082506,2011,Automobile
2011082507,2011,Automobile
2011082507,2011,Van
2011082508,2011,Unicycle bicycle or tricycle
2011082508,2011,Automobile
2011082509,2011,Automobile
2011082509,2011,SUV
2011082510,2011,Automobile
2011082511,2011,Bus
2011082511,2011,Automobile
2011082512,2011,SUV
2011082512,2011,SUV
2011082512,2011,Automobile
2011082512,2011,Small truck
2011082512,2011,Automobile
2011082513,2011,Automobile
2011082514,2011,Automobile
2011082514,2011,Automobile
2011082515,2011,SUV
2011082515,2011,Automobile
2011082515,2011,Van
2011082516,2011,Large truck
2011082516,2011,Automobile
2011082517,2011,unknown
2011082517,2011,Automobile
2011082518,2011,Small truck
2011082518,2011,Unicycle bicycle or tricycle
